material_id;diameter;body_length;wall_thickness;laminate;shoulder;closure;closure_material;packaging_code;lacquer;printing_document;customer_id
260681;50.0;150;0.5;;P-2100Z01100;VS2149030G01;609235;VPU053;LAXXXX;PD050233;100948
260688;25.0;65;0.5;PF0404;N-18000F0040;HF1825040R02;611612;VP0380;LA0180;PD047067;100453
260689;25.0;103;0.5;PF0404;N-18000F0040;HF1825040R02;611612;VP0294;LA0180;PD047068;100453
260690;30.0;140;0.5;PF0404;N-18000F0040;HF1825040R02;611612;VP0292;LA0180;PD047069;100453
260728;25.0;103;0.5;PF0404;N-18000F0040;HF1825040R02;611612;VP0294;LA0180;PD047079;100453
260729;30.0;140;0.5;PF0404;N-18000F0040;HF1825040R02;611612;VP0292;LA0180;PD047080;100453
260780;13.5;50;0.3;PF0405;K-060A000011;HC0613011001;606562;VK13101;LA0180;PD047131;100354
260781;19.0;90;0.5;PF0109D;K-1500Z01014;HL1519014001;615514;VP0504;LA0180;PD047132;100354
260788;50.0;155;0.5;PF0114;P-2100Z00100;VS2148030001;615500;VP0301;LA0172;PD047144;100865
260795;16.0;60;0.3;PF0405;N-0900000015;H-0916040003;605481;VK16101;LA0180;PD047148;100354
260876;50.0;150;0.5;;P-2100Z01100;VS2148050007;607632;VPU053;LA0142;PD070158;100643
260877;50.0;150;0.5;;P-2100Z01100;VS2148050007;607632;VPU053;LA0142;PD070050;100643
260878;50.0;150;0.5;;P-2100Z01100;VS2148050007;607632;VPU053;LA0142;PD070160;100643
260895;19.0;90;0.5;PF0109D;K-1500Z01014;HL1519014001;615514;VP0504;LA0180;PD047195;100354
260914;50.0;173;0.5;;N-2200007090;HS2248090001;608454;VPU054;LA0173;PD054066;100642
260940;16.0;85;0.5;PF0404;K-060A000011;HC0615011001;606641;VT16501;LA0180;;101259
260961;19.0;85;0.5;PF0404;K-1500Z01014;HL1519014001;614215;VK19301;LA0172;PD047221;101070
260995;50.0;162;0.5;;P-2100Z01100;VS2148050V03;616024;VPU054;LA0142;PD050247;100642
261104;25.0;105;0.4;;P-1400000106;VP1424020001;615552;VPU036;LA0142;PD050249;101333
261124;19.0;58;0.5;PF0109D;N-1100000030;HI1119057001;201116;VP0190;LA0180;PD047295;100583
261125;19.0;58;0.5;PF0109D;N-1100000030;HI1119057001;201116;VP0190;LA0180;PD047296;100583
261137;35.0;95;0.5;;P-2100Z01100;VS2134030M02;615407;VPU044;LA0173;PD054045;100642
261139;35.0;95;0.5;;P-2100Z01100;VS2134030M02;615407;VPU044;LA0173;PD053856;100642
261140;35.0;95;0.5;;P-2100Z01100;VS2134030M02;615407;VPU044;LA0173;PD053855;100642
261157;50.0;160;0.5;;P-2100Z01100;VS2148030M02;614652;VPU055;LA0173;PD070150;101339
261195;35.0;93;0.5;PF0404;N-1500000030;HR1534040K01;616063;VK35102;LA0180;PD047326;100323
261221;30.0;110;0.5;;P-1700Z00100;VS1729030M04;616067;VPU041;LA0173;PD056444;100643
261223;50.0;120;0.5;;P-2100Z01100;VS2148015M02;616069;VPU052;LA0143;PD050270;100643
261266;35.0;93;0.5;PF0404;N-1500000030;HR1534040K01;616063;VK35102;LA0172;PD047609;100323
261307;50.0;210;0.5;;N-2200007050;H-2250120001;608095;VPU054;LA0172;PD050284;100649
261372;50.0;190;0.5;;P-2100Z01100;VS2148030M02;609086;VPU054;LA0143;PD050293;100642
261432;50.0;130;0.5;PF0116;P-2100Z00100;VS2148050M01;616129;VK50201;LA0173;PD047395;100553
